Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Indonesia,IDN,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,,50,50,50,50,100,100,100,100,100,150,150,150,150,155,210,240,510,1820,1820,2100,2745,3390,3390,3652,3915,4175,4048,4316,4620,4524,4997,5470,5942,6033,6124,5139,4483,4656,4335,4013,,,,,,,,,,,,,,,
Indonesia,IDN,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.6578524,111.0242972,123.1850403,102.5829931,109.0276062,121.0795759,118.397405,103.4784951,105.9402353,113.830429,109.6319517,113.0828176,,
Indonesia,IDN,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.9590658,131.1321521,131.2093976,143.9864029,158.016093,181.4572273,184.5284581,181.639661,181.5166525,198.4185957,205.4442128,204.5899149,,
Indonesia,IDN,Agricultural land (sq. km),AG.LND.AGRI.K2,,386000,386000,385500,385500,385000,384500,384500,384500,384000,384000,383500,383500,383000,383000,382560,380460,380460,380460,380000,380000,379500,379500,379000,370520,396790,412920,434850,441370,444350,450830,415240,413510,420160,419710,429780,429680,435270,438770,458770,471770,477000,481810,510060,533660,518460,515000,530000,540000,556000,556000,565000,565000,570000,,
Indonesia,IDN,Agricultural land (% of land area),AG.LND.AGRI.ZS,,21.30748467,21.30748467,21.2798843,21.2798843,21.25228393,21.22468356,21.22468356,21.22468356,21.19708319,21.19708319,21.16948282,21.16948282,21.14188246,21.14188246,21.11759413,21.00167258,21.00167258,21.00167258,20.97628024,20.97628024,20.94867987,20.94867987,20.92107951,20.45297725,21.90310063,22.79348852,24.00404069,24.3639495,24.5284477,24.88614848,22.92155423,22.82605696,23.19314186,23.16830153,23.72417295,23.71865288,24.027225,24.22042758,25.32444233,26.04205192,26.33075178,26.59626733,28.15568816,29.45842556,28.61937435,28.4283798,29.25639087,29.80839824,30.69161004,30.69161004,31.18841668,31.18841668,31.46442036,,
Indonesia,IDN,Arable land (hectares),AG.LND.ARBL.HA,,18000000,18000000,18000000,18000000,18000000,18000000,18000000,18000000,18000000,18000000,18000000,18000000,18000000,18000000,18000000,18000000,18000000,18000000,18000000,18000000,18000000,18000000,18000000,18021000,19500000,20178000,21170000,21156000,20860000,20253000,18081000,18100000,18129000,17126000,17342000,17941000,18500000,18700000,19700000,20500000,20200000,20081000,22406000,24666000,22946000,21500000,22000000,22700000,23600000,23600000,23500000,23500000,23500000,,
Indonesia,IDN,Arable land (hectares per person),AG.LND.ARBL.HA.PC,,0.199693282,0.194472642,0.18936272,0.184354401,0.179445699,0.174643082,0.16995979,0.165408391,0.161001659,0.156746935,0.15264328,0.148687202,0.144878195,0.141214979,0.137694561,0.134317638,0.131078662,0.12796282,0.124953562,0.12204187,0.119222004,0.11650013,0.113892087,0.111546748,0.118173084,0.11982041,0.123275686,0.120890794,0.117037658,0.111625633,0.097939092,0.096398583,0.094979261,0.088305702,0.088049298,0.089737927,0.091198663,0.090885456,0.094419166,0.09690819,0.094195197,0.092382041,0.101703158,0.110476795,0.101416676,0.09377836,0.094706415,0.096447681,0.098966237,0.097676812,0.095993495,0.094743604,0.093525535,,
Indonesia,IDN,Arable land (% of land area),AG.LND.ARBL.ZS,,9.936132747,9.936132747,9.936132747,9.936132747,9.936132747,9.936132747,9.936132747,9.936132747,9.936132747,9.936132747,9.936132747,9.936132747,9.936132747,9.936132747,9.936132747,9.936132747,9.936132747,9.936132747,9.936132747,9.936132747,9.936132747,9.936132747,9.936132747,9.947724902,10.76414381,11.13840481,11.68599612,11.67826802,11.51487384,11.17980536,9.980845344,9.991333484,10.0073417,9.453678301,9.572911894,9.903564312,10.21213643,10.32253791,10.87454528,11.31615118,11.15054897,11.08486009,12.36827724,13.61581391,12.66636122,11.86815856,12.14416225,12.53056741,13.02737405,13.02737405,12.97217331,12.97217331,12.97217331,,
Indonesia,IDN,Land under cereal production (hectares),AG.LND.CREL.HA,,9319000,10458000,9290000,10626000,9834000,11469000,10063000,11240780,10448440,11073690,10951020,10057690,11836770,11175470,10939970,10463810,10926080,11953780,11397185,11740005,12336878,11049754,12164696,12849826,12342259,13131212,12548627,13543906,13475406,13660449,13190619,14732663,13952314,13843200,15090598,15313299,14495818,15564020,15419561,15293000,14785900,14647996,14835868,15279888,15465047,15132235,15777961,16312468,17044235,17385126,17068335,17403119,17656756,17634326,
Indonesia,IDN,Permanent cropland (% of land area),AG.LND.CROP.ZS,,4.416058999,4.416058999,4.416058999,4.416058999,4.416058999,4.416058999,4.416058999,4.416058999,4.416058999,4.416058999,4.416058999,4.416058999,4.416058999,4.416058999,4.416058999,4.416058999,4.416058999,4.416058999,4.416058999,4.416058999,4.416058999,4.416058999,4.416058999,4.368034357,4.597669425,4.908449577,5.229717869,5.66469968,5.675739828,6.469526433,6.467318403,6.321036449,6.672113139,7.200936205,7.637574038,7.645302141,7.645302141,7.728103247,8.280110622,8.55611431,9.052920947,9.384125372,9.715329797,9.770530534,9.880932009,10.48814012,11.0401475,11.20574971,11.59215487,11.59215487,12.14416225,12.14416225,12.42016593,,
