Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Spain,ESP,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,,71077,92755,114410,130132,147884,169187,180717,204357,239544,259819,282371,306189,330459,355554,379070,400928,421393,455675,491595,523907,548080,571174,592010,611433,633210,657826,678680,701928,722661,740830,755743,766267,775297,789747,805593,823609,841932,862140,881977,899700,925688,946053,943653,966598,980808,1000222,1016043,1030440,1038726,,,,,,
Spain,ESP,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.9301405,124.595985,118.047293,103.7374811,112.7065354,117.1853674,89.16995671,106.1450037,112.1510309,95.72401335,90.7532294,104.5284013,,
Spain,ESP,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.4517778,175.2709534,165.4026104,142.1395493,142.3294811,157.7222311,106.5446028,96.92694247,130.6752874,122.6164615,122.5808274,139.1526651,,
Spain,ESP,Agricultural land (sq. km),AG.LND.AGRI.K2,,332300,332320,331370,327530,326940,321560,323820,321590,325270,321190,326840,325680,322800,320780,319210,315160,315900,314780,313550,312380,312060,311910,307910,306280,307120,306100,306010,305780,307010,304720,303710,302790,300330,301830,297190,301390,300590,299580,297780,297660,295200,294190,291530,290710,291640,286130,280040,281420,279700,275450,270140,269420,269420,,
Spain,ESP,Agricultural land (% of land area),AG.LND.AGRI.ZS,,66.48925527,66.49325703,66.3031734,65.53483533,65.41678338,64.34030974,64.7925087,64.34631238,65.08263636,64.26627716,65.39677458,65.16467246,64.5884189,64.18809405,63.88927807,63.08625418,63.23817912,63.01523432,62.76774633,62.54229483,62.47947784,62.4494454,61.6522836,61.32468365,61.49287202,61.28864328,61.2706231,61.22457152,61.47084735,61.01233381,60.81010732,60.62590101,60.13334935,60.43368573,59.5046452,60.34558706,60.18540766,59.98318116,59.62277751,59.65130261,59.21527722,58.95118628,58.39826927,58.23750952,58.43435052,57.34297968,56.10787201,56.41940658,56.09032206,55.08889822,54.04096983,53.86137822,53.86137822,,
Spain,ESP,Arable land (hectares),AG.LND.ARBL.HA,,16246000,16296000,16205000,15919000,15966000,15509000,15740000,15692000,16082000,15690000,16339000,16288000,16054000,15918000,15821000,15657000,15630000,15640000,15578000,15558000,15569000,15565000,15592000,15651000,15564000,15565000,15584000,15577000,15512000,15335000,15258000,15201000,14982000,14806000,14045000,14450000,14285000,13684000,13463000,13400000,13064000,12909000,13017000,13025000,12913000,12720000,12586000,12488000,12497000,12528000,12429000,12570000,12570000,,
Spain,ESP,Arable land (hectares per person),AG.LND.ARBL.HA.PC,,0.528509967,0.525281493,0.517787031,0.503619279,0.499651189,0.480404758,0.481596718,0.473890511,0.480905895,0.464001704,0.477864818,0.472078928,0.46109565,0.452803293,0.445276588,0.435649562,0.429749203,0.424164281,0.4187508,0.415555583,0.412527044,0.410222702,0.408998073,0.40887102,0.405113984,0.403912048,0.40340847,0.402341687,0.399881696,0.394718875,0.39184316,0.389093356,0.382297254,0.376791257,0.356589584,0.366024923,0.360892601,0.344501971,0.337196554,0.332809977,0.320541753,0.31157409,0.308550051,0.303458177,0.295809089,0.286503786,0.278286307,0.271749384,0.269547151,0.268974552,0.2659025,0.268744473,0.269626509,,
Spain,ESP,Arable land (% of land area),AG.LND.ARBL.ZS,,32.50630277,32.60634679,32.42426668,31.85201489,31.94605626,31.03165393,31.4938573,31.39781504,32.17815839,31.39381328,32.69238465,32.59033975,32.12213374,31.85192596,31.66543242,31.34095322,31.28878568,31.30943087,31.18468991,31.14901796,31.1716654,31.16365675,31.21959033,31.33709755,31.16290245,31.16490469,31.2029473,31.1889316,31.05878584,30.70438892,30.55021624,30.43608842,29.99759731,29.64520263,28.12149608,28.93240429,28.60203428,27.39868653,26.95619093,26.85370741,26.20556848,25.86766592,26.07519881,26.09279218,25.87308902,25.49200369,25.21688606,25.03608661,25.06116392,25.05549889,24.86396735,25.12944563,25.12944563,,
Spain,ESP,Land under cereal production (hectares),AG.LND.CREL.HA,,6929785,7252920,7228312,7048402,7093770,6954614,7207501,7382517,7350702,7432455,7436300,7495900,7298300,7518800,7195800,7230878,7245747,7513302,7278067,7526907,7367284,7452404,7432467,7587089,7592592,7708338,7879247,7897362,7905859,7551418,7811950,7402028,6425218,6479932,6688055,6762316,6982025,6632544,6640640,6802494,6424327,6724043,6570655,6597267,6567621,6268872,6206582,6684765,6040784,6001380,5944293,5678428,6182910,6258809,
Spain,ESP,Permanent cropland (% of land area),AG.LND.CROP.ZS,,8.971947657,9.075993437,9.268077954,9.272079715,9.260074433,9.29809116,9.488174797,9.338108768,9.494177438,9.662251391,9.694265477,9.76429629,9.854335908,9.938969485,10.03142325,10.01261085,9.957160588,9.885292175,9.909116387,9.892486035,9.848636527,9.854643014,9.843221272,9.732900849,9.714880666,9.720887394,9.622777511,9.592743873,9.634790966,9.684847029,9.672833574,9.50264296,9.360483742,9.390517379,9.426557745,9.39852635,9.55870575,9.674835816,9.740909819,9.827655311,9.989569125,9.973148445,9.943711063,9.880203534,9.879981566,9.735861157,9.637154134,9.591018444,9.46336181,9.385812284,9.128190766,9.933827792,9.933827792,,
