"Data Source","World Development Indicators",

"Last Updated Date","2016-08-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Aruba","ABW","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","3970","4990","6300","7300","7570","7880","8570","10360","12550","12410","10780","8890","8050","7640","8700","11020","14080","15360","16880","18260","20140","18730","17880","17840","18990","20190","19410","19250","19930","21000","22590","27150","33610","40040","42740","44250","43760","44180","41670","40580","41010","43270","","",
"Afghanistan","AFG","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","220","250","280","340","370","470","520","570","720","730","670","630",
"Angola","AGO","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","750","750","520","550","880","590","480","370","460","460","440","430","360","390","430","510","620","880","1170","1630","2360","3020","3510","3570","3740","4140","4720","4800","4180",
"Albania","ALB","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","720","760","760","790","680","420","300","320","400","660","920","830","900","1010","1170","1330","1410","1690","2150","2670","3090","3480","4050","4280","4360","4390","4360","4480","4450","4290",
"Arab World","ARB","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2132.04205946196","2167.77077418037","2274.65246380399","2351.26273313726","2338.68485849528","2324.35080395823","2430.74593350188","2511.95360922734","2506.3058525008","2685.3693351455","3081.24006571516","3554.75588136846","4091.42969732095","4708.27546009457","5516.01113054046","5599.28315780016","5822.41737183138","6068.12350471518","7024.37979821774","7523.86988475792","7540.19555094894","7060.6199461417",
"United Arab Emirates","ARE","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32820","31710","33560","37000","38390","40360","40630","41010","36040","34140","35250","40130","43480","44640","43170",
"Argentina","ARG","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","1110","1230","1340","1230","1210","1300","1320","1470","1460","1810","2460","2700","2340","2200","2170","2600","2940","2810","2570","2800","2820","2650","3010","3600","3900","2910","3170","3950","6280","7070","7540","7330","7700","8110","7990","7540","7440","6960","3930","3550","3680","4940","6150","7310","8570","9160","10490","11840","13060","14180","13640","",
"Armenia","ARM","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","310","330","400","450","520","560","590","610","660","710","800","950","1160","1520","1990","2710","3520","3250","3370","3420","3760","3930","4020","3880",
"American Samoa","ASM","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","1290","1620","1810","1850","2050","2440","2840","3130","3960","5050","5430","5740","6160","6370","6810","7180","6920","7130","7620","7730","8000","8620","8890","9290","10140","10990","11920","13400","14750","14990","13420","12620","12370","12850","13030","13320","13390",
"Australia","AUS","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","1840","1940","2070","2230","2320","2520","2710","2970","3250","3450","3840","4580","5890","7120","7740","8000","8430","9540","10730","11700","12100","11510","11920","11860","12190","12430","13980","15470","17220","18210","18620","18850","18750","19290","20500","21950","21770","21430","21110","20110","19960","21110","25490","30310","34140","37310","42360","44010","46530","50130","59810","65500","64620","60070",
"Austria","AUT","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","1060","1140","1240","1340","1470","1560","1680","1850","2050","2300","2750","3560","4640","5520","5960","6630","7510","9580","11420","11130","10350","9570","9240","9330","10780","13760","18010","19230","20560","21730","24430","24780","26040","28090","30050","29550","27920","27210","26690","25270","24950","27940","33620","38500","41260","44200","48790","48710","49350","50310","49830","50600","49570","47120",
"Azerbaijan","AZE","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","590","440","400","400","450","510","570","610","660","720","820","950","1270","1890","2710","3870","4800","5370","5530","6290","7350","7600","6560",
"Burundi","BDI","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","70","80","80","70","60","60","50","50","70","70","70","80","100","110","120","140","150","180","220","250","240","230","220","240","240","250","250","220","210","210","200","170","160","150","140","140","140","130","130","120","120","110","120","130","140","160","170","180","200","220","240","250","270","260",
"Belgium","BEL","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","1450","1530","1670","1800","1950","2100","2270","2510","2800","3090","3660","4710","6020","6940","7620","8260","9610","11790","14050","13260","11240","9470","8910","8870","10210","13160","17090","18120","19400","20680","23280","23520","25210","27200","28760","28650","26720","26180","26040","24530","24130","27120","32970","37850","40030","42760","46700","46250","47810","47010","47090","47240","46990","44360",
"Benin","BEN","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","90","100","110","110","110","120","120","120","120","120","130","160","190","200","210","230","250","310","390","410","360","290","270","260","270","310","360","340","360","380","360","380","330","350","340","370","370","370","390","380","380","430","520","590","610","660","730","770","760","770","790","860","890","860",
"Burkina Faso","BFA","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","80","80","80","80","80","90","90","90","90","90","90","110","140","160","170","170","200","250","300","300","280","240","210","210","240","270","330","330","330","360","320","280","230","230","250","250","250","260","250","240","240","280","340","410","430","460","520","550","610","610","640","690","690","660",
"Bangladesh","BGD","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","120","160","210","200","170","160","190","230","260","240","220","210","220","240","270","280","290","310","310","320","320","320","330","360","390","400","410","420","430","420","450","490","540","560","590","650","710","780","870","950","1010","1080","1190",
"Bulgaria","BGR","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","2390","2130","2040","1970","2200","2750","3140","2850","2260","1620","1430","1250","1240","1360","1300","1330","1390","1490","1660","1760","1960","2350","3020","3760","4230","4860","6100","6640","6840","7070","7260","7480","7610","7220",
"Bahrain","BHR","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","8310","8730","9210","8090","7450","7830","7570","7310","7220","9800","9890","10040","9690","10380","10770","10260","10000","9800","10900","11540","12260","13240","14970","16970","18220","19840","20840","18650","18660","17860","19470","21060","20860","20350",
"Bahamas, The","BHS","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","1550","1650","1760","1900","2040","2230","2450","2760","2920","3110","3190","3740","3840","4640","4930","5740","6340","7390","7290","7500","7440","6860","7250","8210","9600","11180","13090","14660","14040","13470","13630","13350","13680","14260","15940","13660","15790","19020","20330","20870","21230","21640","22780","23510","23610","23860","23800","22280","21660","21290","21450","21250","21310","21310",
"Bosnia and Herzegovina","BIH","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","750","1000","1310","1380","1470","1590","1740","2020","2520","3070","3380","3840","4620","4840","4780","4780","4690","4870","4820","4680",
"Belarus","BLR","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1670","1590","1460","1370","1450","1530","1550","1400","1380","1300","1380","1630","2180","2820","3520","4310","5470","5590","5990","6130","6400","6790","7340","6460",
"Belize","BLZ","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","330","340","350","370","390","420","420","420","420","450","520","600","730","840","800","850","930","1120","1430","1420","1270","1130","1130","1180","1340","1580","1820","2020","2230","2380","2660","2780","2790","2860","2890","2890","2790","2870","3150","3140","3230","3450","3590","3680","3780","3740","3940","4130","3970","4140","4260","4340","4430","4420",
"Bermuda","BMU","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","2170","2160","2360","2460","2830","3210","3240","3340","3570","4010","4550","5430","6490","7570","8290","8960","9680","10700","12790","14120","13710","14820","16510","17870","21170","24040","26620","26500","27060","27400","29000","30890","31730","34290","","","","","","","","","","","","117640","120490","111580","110440","107530","106080","106140","","",
"Bolivia","BOL","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","240","250","290","310","390","490","580","620","700","810","870","1030","860","870","850","820","740","720","710","720","720","740","770","800","820","850","910","960","1000","980","990","960","930","920","970","1030","1120","1240","1490","1640","1810","2010","2280","2620","2870","3080",
"Brazil","BRA","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","230","250","270","280","270","310","370","410","440","500","590","750","970","1170","1350","1470","1660","1950","2180","2070","1990","1710","1610","1560","1780","2030","2240","2740","2710","3250","3140","3070","3010","3680","4470","5030","4820","4100","3840","3290","3040","2920","3280","3910","4710","5980","7330","7990","9650","11010","12020","12180","11790","9850",
"Barbados","BRB","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","3680","3740","4140","4450","4950","5630","6260","6640","7660","7530","7460","7650","8030","8440","8860","9280","9670","10080","11070","10910","10950","11610","12630","13620","14640","15660","15980","15810","15860","15740","15310","15020","14860","14800",
"Brunei Darussalam","BRN","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12170","12550","13680","15270","15130","15190","15790","16330","16330","14530","14140","14800","16210","17310","18000","20200","23290","27730","30970","34030","32190","","","37320","","","",
"Bhutan","BTN","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","280","270","300","300","350","490","540","560","580","500","480","450","490","510","560","610","580","620","780","820","860","950","1070","1220","1340","1630","1750","1830","1990","2170","2320","2340","2370","2370",
"Botswana","BWA","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","70","80","80","90","90","100","110","130","150","180","230","310","400","470","490","530","620","800","1000","1210","1160","1050","980","970","1050","1230","1830","2160","2540","2870","3050","3100","2750","3040","2970","3110","3010","2970","3000","3100","2790","3230","3770","4760","5270","5570","5590","5180","5480","6510","7160","7330","7030","6510",
"Central African Republic","CAF","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","80","80","80","90","90","100","100","110","110","110","120","140","160","180","200","240","270","300","340","340","330","260","270","280","330","400","470","470","460","460","450","430","360","340","290","290","270","270","250","250","250","260","300","340","350","380","420","450","470","480","480","310","310","320",
"Canada","CAN","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","2340","2360","2470","2670","2920","3080","3370","3680","3960","4380","5040","6050","7180","7980","8680","9030","9690","10530","11510","12280","11810","12090","13000","13760","14380","16110","18430","19660","20420","20730","21140","21000","20660","20670","20640","21140","20750","21250","22520","22860","23320","25230","29230","33960","37640","41220","44600","43080","44400","47090","51150","52560","51770","47500",
"Central Europe and the Baltics","CEB","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2235.37902204295","2435.07790643598","2731.93430169562","3151.98264239079","3598.71474746673","3819.65459456418","3873.32981675189","3919.56899906141","4099.29093950994","4183.40042034583","4433.07397999491","5208.9152260243","6376.03435058526","7718.5268935877","8839.70877418251","10315.2444585228","12295.7762084208","12605.499279275","12724.3303565331","12887.855077233","13057.3168141733","13394.3746227329","13506.4234689502","13147.7876427507",
