Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Mexico,MEX,"Population, total",SP.POP.TOTL,38174114,39394125,40649590,41939880,43264267,44623041,46010959,47429553,48893607,50423127,52029859,53719547,55480125,57283361,59090495,60872399,62620087,64337694,66025613,67688533,69330974,70950741,72547995,74133377,75721210,77322643,78939441,80571067,82223153,83901643,85609404,87347208,89110043,90887097,92663664,94426946,96181710,97925825,99632299,101266570,102808590,104239563,105578297,106888418,108257822,109747906,111382857,113139374,114972821,116815612,118617542,120365271,122070963,123740109,125385833,127017224
Mexico,MEX,Population growth (annual %),SP.POP.GROW,3.15183626940663,3.14590515814972,3.13720563315833,3.12484143972581,3.10898875748261,3.09232881623653,3.06292672685517,3.03659081850584,3.0401136307633,3.08032871389503,3.13678264467896,3.19591736824046,3.22479095023297,3.1985349098699,3.10598847674915,2.97097712160994,2.83062516392263,2.70595750932974,2.58970621790071,2.48740434538488,2.39749756521308,2.30940859180837,2.22624953091432,2.16175199016343,2.11924434025667,2.09285302341227,2.06941525084273,2.04586259619861,2.02973142241687,2.0208267049937,2.01499408085036,2.00959357768233,1.99809714707133,1.97459997390875,1.93583777065879,1.88500557152154,1.84127375204761,1.79710894757792,1.72760948381187,1.62699477482942,1.51125629236518,1.38228307177647,1.2761088757382,1.23326385978506,1.27301550181981,1.3670349114033,1.47874567106962,1.56470281743933,1.60753043686233,1.59009645450786,1.53076587183814,1.46266598582924,1.4071495144712,1.35809314149312,1.32121763533464,1.29270519749327
Mexico,MEX,Surface area (sq. km),AG.SRF.TOTL.K2,..,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380
Mexico,MEX,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,49,..,52,..,51.6,..,53.2,..
Mexico,MEX,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,..,..,14670418980.7177,16308434367.3958,18851997042.9715,21094037585.3308,23399593328.8793,26061579146.1249,29682287337.151,31998389902.1189,35288593773.9555,38713175009.8524,44862886688.7794,55642136025.8592,70183062313.7662,87081664560.5966,94129373600.6106,92841948692.111,102394404642.348,125208180317.004,170598696942.984,219379264588.18,200313842424.981,164264016679.298,154799107610.351,164393247530.983,153008680119.559,153828041732.103,164206532179.035,192818592553.597,235630770919.53,279202709213.846,329499120030.371,405443079932.854,482171488461.724,431156286364.533,415807764671.912,421691292717.66,459634618880.12,514329962389.7,591218052474.576,650808054202.966,694386112899.516,733578223150.253,799778442459.412,846883115607.384,921879304539.138,1027394888277.89,1100935667087.68,1014961547413.65,1048984726241.95,1092440080728.14,1193087275584.86,1226815971438.36,1263645494740.91,1233657846512.31
Mexico,MEX,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,..,..,360,390,440,470,510,550,610,630,680,720,810,970,1190,1430,1500,1440,1550,1850,2460,3090,2760,2220,2040,2130,1940,1910,2000,2300,2750,3200,3700,4460,5200,4570,4320,4310,4610,5080,5750,6240,6580,6860,7390,7720,8280,9080,9580,8690,8840,9080,9770,9910,10080,9710
Mexico,MEX,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,498385724518.97,539748073464.171,572664350948.683,749956297544.388,800197595377.458,724272557948.035,774762949881.968,850900897656.943,898760797395.561,961576426201.378,1037531569720.05,1053319220225.78,1073882959752.46,1112113573443.83,1195751916360.24,1300759187715.49,1432295322504.92,1557241963869.52,1650639145129.84,1641225201630.6,1748866416302.93,1900683442605.92,1984596403632.76,1980271550173.8,2156333871872.98,2178018671602.2
Mexico,MEX,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5820,6180,6430,8250,8640,7670,8060,8690,9020,9500,10090,10100,10170,10400,11050,11850,12860,13760,14360,14050,14740,15790,16260,16000,17200,17150
Mexico,MEX,Income share held by lowest 20%,SI.DST.FRST.20,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.11,..,..,..,..,3.56,..,..,4.04,..,4.05,..,4.38,..,4.06,..,3.89,..,4.31,..,4.52,3.69,4.72,..,4.76,..,4.72,..,4.86,..,..,..
Mexico,MEX,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,57.0656341463415,57.6561463414634,58.180243902439,58.6429024390244,59.0555853658537,59.4337073170732,59.7932195121951,60.1515365853659,60.5230975609756,60.9193658536585,61.350243902439,61.8191707317073,62.3176585365854,62.8378292682927,63.3742682926829,63.9201463414634,64.4686097560976,65.0128292682927,65.5459268292683,66.0630243902439,66.5602195121951,67.0370487804878,67.4959268292683,67.9407804878049,68.3720243902439,68.7926097560976,69.2034390243902,69.6074146341464,70.0064878048781,70.4015853658537,70.7957317073171,71.1909756097561,71.5858292682927,71.9778292682927,72.3638536585366,72.7397804878049,73.0989024390244,73.4371463414634,73.7514146341464,74.039243902439,74.2997317073171,74.5334878048781,74.7447073170732,74.937512195122,75.1154878048781,75.2820975609756,75.4387804878049,75.5879268292683,75.7324634146342,75.8774146341463,76.0267804878049,76.1856585365854,76.3540975609756,76.5326585365854,76.7218536585366,..
Mexico,MEX,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,6.768,6.762,6.758,6.754,6.752,6.755,6.768,6.789,6.813,6.831,6.83,6.789,6.7,6.558,6.366,6.13,5.864,5.587,5.317,5.064,4.836,4.635,4.456,4.295,4.149,4.018,3.898,3.786,3.68,3.578,3.478,3.382,3.291,3.206,3.126,3.051,2.982,2.917,2.857,2.8,2.747,2.697,2.649,2.604,2.561,2.521,2.483,2.447,2.415,2.385,2.356,2.328,2.3,2.272,2.243,..
Mexico,MEX,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,116.4508,116.6804,116.91,116.91,116.91,116.91,116.91,116.91,117.4558,118.0016,118.5474,119.0932,119.639,117.5964,115.5538,113.5112,111.4686,109.426,107.0974,104.7688,102.4402,100.1116,97.783,95.9352,94.0874,92.2396,90.3918,88.544,86.8004,85.0568,83.3132,81.5696,79.826,80.6896,81.5532,82.4168,83.2804,84.144,82.6598,81.1756,79.6914,78.2072,76.723,75.6132,74.5034,73.3936,72.2838,71.174,70.1332,69.0924,68.0516,67.0108,65.97,64.7146,63.4592,..
Mexico,MEX,"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,30.3,..,37.8,..,..,47.7,..,..,..,..,52.7,..,..,..,..,63.1,..,..,66.5,..,68.4,..,..,70,..,..,74.5,73,73.7,70.9,..,..,72.5,..,..,..,..,..,..
Mexico,MEX,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,69.4,..,..,83.8,..,..,..,..,..,..,85.7,..,..,..,..,..,95,..,..,93.4,93.7,..,95.3,94.08,..,96,..,..,..
Mexico,MEX,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,..,..,..,129.7,127.3,124.6,122,119.1,115.8,112.3,108.6,104.9,101.1,97.7,94.5,91.5,88.6,85.6,82.4,78.8,75.1,71.3,67.6,64.3,61.4,58.7,56.2,53.8,51.4,49,46.6,44.1,41.7,39.4,37.2,35,33,31,29.1,27.3,25.6,24.1,22.6,21.4,20.4,19.5,18.9,18.4,17.9,17.4,16.8,16,15.3,14.5,13.8,13.2
Mexico,MEX,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12.3999996185303,13.8999996185303,..,..,..,..,..,..,14.8000001907349,..,6,..,..,..,..,..,..,..,3.40000009536743,..,..,..,..,..,2.79999995231628,..,..,..
Mexico,MEX,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,35,33,37,23,21,64,60,54,70,85,75,89,88,79,90,90,93,91,96,94,96,95,96,96,96,96,96,96,96,96,95,98,99,89,97,..
