¥éËSeries Name,"Fertility rate, total (births per woman)","Life expectancy at birth, total (years)","Population, total"
1960 [YR1960],6.749,45.83146341,10061519
1961 [YR1961],6.789,46.26670732,10350239
1962 [YR1962],6.827,46.68253659,10650672
1963 [YR1963],6.862,47.07843902,10961539
1964 [YR1964],6.893,47.45336585,11281015
1965 [YR1965],6.918,47.80763415,11607684
1966 [YR1966],6.937,48.14097561,11941327
1967 [YR1967],6.95,48.4552439,12282081
1968 [YR1968],6.957,48.75641463,12629333
1969 [YR1969],6.957,49.04807317,12982444
1970 [YR1970],6.95,49.33497561,13341071
1971 [YR1971],6.936,49.62195122,13704333
1972 [YR1972],6.915,49.91229268,14072476
1973 [YR1973],6.888,50.20729268,14447649
1974 [YR1974],6.855,50.5095122,14832839
1975 [YR1975],6.815,50.81395122,15229951
1976 [YR1976],6.771,51.11546341,15639898
1977 [YR1977],6.721,51.40982927,16061327
1978 [YR1978],6.665,51.69729268,16491087
1979 [YR1979],6.605,51.98178049,16924758
1980 [YR1980],6.539,52.27178049,17359118
1981 [YR1981],6.468,52.57831707,17792551
1982 [YR1982],6.392,52.91043902,18225727
1983 [YR1983],6.31,53.27368293,18660443
1984 [YR1984],6.223,53.6704878,19099575
1985 [YR1985],6.131,54.10970732,19544950
1986 [YR1986],6.035,54.60268293,19996250
1987 [YR1987],5.935,55.13731707,20451712
1988 [YR1988],5.831,55.69363415,20909897
1989 [YR1989],5.725,56.24717073,21368856
1990 [YR1990],5.616,56.75163415,21826658
1991 [YR1991],5.505,57.15726829,22283130
1992 [YR1992],5.391,57.43678049,22737056
1993 [YR1993],5.277,57.57980488,23184222
1994 [YR1994],5.164,57.59482927,23619358
1995 [YR1995],5.057,57.50270732,24038761
1996 [YR1996],4.957,57.34078049,24441076
1997 [YR1997],4.869,57.1642439,24827409
1998 [YR1998],4.792,57.02392683,25199744
1999 [YR1999],4.727,56.95370732,25561297
2000 [YR2000],4.67,56.98709756,25914875
2001 [YR2001],4.618,57.14760976,26261363
2002 [YR2002],4.568,57.42043902,26601463
2003 [YR2003],4.517,57.78517073,26937737
2004 [YR2004],4.464,58.22236585,27273188
2005 [YR2005],4.413,58.70104878,27610406
2006 [YR2006],4.367,59.18421951,27949958
2007 [YR2007],4.33,59.63585366,28292768
2008 [YR2008],4.303,60.03041463,28642048
2009 [YR2009],4.285,60.35546341,29001563
2010 [YR2010],4.272,60.60997561,29373644
2011 [YR2011],4.258,60.808,29759891
2012 [YR2012],4.238,60.97702439,30158768
2013 [YR2013],4.209,61.14207317,30565461
2014 [YR2014],4.168,61.31163415,30973148
2015 [YR2015],..,..,31376670
d,..,,2.067902683
