Series Name,GDP growth (annual %),"Survival rate to the last grade of primary education, both sexes (%)"
1961 [YR1961],7.350052545,..
1962 [YR1962],8.340192277,..
1963 [YR1963],3.720546399,..
1964 [YR1964],6.600281714,..
1965 [YR1965],4.939242858,..
1966 [YR1966],8.394879385,..
1967 [YR1967],3.774703476,..
1968 [YR1968],0.354541483,..
1969 [YR1969],3.794652658,..
1970 [YR1970],5.836876461,44.01262
1971 [YR1971],4.180886212,..
1972 [YR1972],2.869775962,..
1973 [YR1973],5.375670612,45.57104
1974 [YR1974],9.250073761,47.80399
1975 [YR1975],3.401563994,47.37723
1976 [YR1976],1.960723169,52.01779
1977 [YR1977],0.402916641,58.52945
1978 [YR1978],0.282736372,56.12781
1979 [YR1979],5.796396827,62.50363
1980 [YR1980],6.126498502,61.58353
1981 [YR1981],5.552041815,58.81403
1982 [YR1982],-0.222723444,..
1983 [YR1983],-10.4080858,..
1984 [YR1984],3.608286538,..
1985 [YR1985],2.061132066,53.96185
1986 [YR1986],9.425962361,..
1987 [YR1987],9.726146431,..
1988 [YR1988],-9.441273446,..
1989 [YR1989],-12.31204145,..
1990 [YR1990],-4.982563536,..
1991 [YR1991],2.219259103,..
1992 [YR1992],-0.540509125,..
1993 [YR1993],5.243577008,67.16629
1994 [YR1994],12.30812867,..
1995 [YR1995],7.411635008,69.27606
1996 [YR1996],2.799117578,..
1997 [YR1997],6.476802058,..
1998 [YR1998],-0.391710242,85.23261
1999 [YR1999],1.494863143,83.08753
2000 [YR2000],2.694311073,80.92544
2001 [YR2001],0.617831087,78.11449
2002 [YR2002],5.453764602,..
2003 [YR2003],4.164850559,84.07593
2004 [YR2004],4.9582783,85.56117
2005 [YR2005],6.285172088,84.90515
2006 [YR2006],7.528816844,89.70733
2007 [YR2007],8.518441947,81.96475
2008 [YR2008],9.143148198,87.60026
2009 [YR2009],1.049232382,90.40293
2010 [YR2010],8.450746875,81.52336
2011 [YR2011],6.452216002,73.88513
2012 [YR2012],5.95034634,..
2013 [YR2013],5.854057072,90.50577
2014 [YR2014],2.38417296,..
2015 [YR2015],3.25689986,..
