ï»¿Series Name,"Fertility rate, total (births per woman)","Life expectancy at birth, total (years)","Population, total"
1960 [YR1960],6.971,47.69158537,10061519
1961 [YR1961],6.97,48.23292683,10350239
1962 [YR1962],6.963,48.75278049,10650672
1963 [YR1963],6.948,49.24865854,10961539
1964 [YR1964],6.921,49.72804878,11281015
1965 [YR1965],6.878,50.21443902,11607684
1966 [YR1966],6.816,50.73678049,11941327
1967 [YR1967],6.733,51.31853659,12282081
1968 [YR1968],6.63,51.96919512,12629333
1969 [YR1969],6.51,52.68726829,12982444
1970 [YR1970],6.378,53.4537561,13341071
1971 [YR1971],6.239,54.24168293,13704333
1972 [YR1972],6.099,55.01758537,14072476
1973 [YR1973],5.963,55.758,14447649
1974 [YR1974],5.832,56.45141463,14832839
1975 [YR1975],5.705,57.09682927,15229951
1976 [YR1976],5.578,57.7047561,15639898
1977 [YR1977],5.447,58.29414634,16061327
1978 [YR1978],5.31,58.881,16491087
1979 [YR1979],5.167,59.47034146,16924758
1980 [YR1980],5.021,60.06363415,17359118
1981 [YR1981],4.875,60.65892683,17792551
1982 [YR1982],4.733,61.24970732,18225727
1983 [YR1983],4.6,61.8305122,18660443
1984 [YR1984],4.475,62.39936585,19099575
1985 [YR1985],4.358,62.95482927,19544950
1986 [YR1986],4.249,63.49443902,19996250
1987 [YR1987],4.142,64.01921951,20451712
1988 [YR1988],4.037,64.53217073,20909897
1989 [YR1989],3.933,65.0347561,21368856
1990 [YR1990],3.828,65.53043902,21826658
1991 [YR1991],3.722,66.02365854,22283130
1992 [YR1992],3.617,66.51736585,22737056
1993 [YR1993],3.514,67.0134878,23184222
1994 [YR1994],3.413,67.5125122,23619358
1995 [YR1995],3.317,68.01543902,24038761
1996 [YR1996],3.226,68.5237561,24441076
1997 [YR1997],3.142,69.03253659,24827409
1998 [YR1998],3.064,69.53680488,25199744
1999 [YR1999],2.993,70.03009756,25561297
2000 [YR2000],2.929,70.50743902,25914875
2001 [YR2001],2.871,70.95987805,26261363
2002 [YR2002],2.818,71.38387805,26601463
2003 [YR2003],2.77,71.7764878,26937737
2004 [YR2004],2.725,72.13619512,27273188
2005 [YR2005],2.684,72.4585122,27610406
2006 [YR2006],2.648,72.74343902,27949958
2007 [YR2007],2.616,72.99695122,28292768
2008 [YR2008],2.59,73.22502439,28642048
2009 [YR2009],2.566,73.43614634,29001563
2010 [YR2010],2.545,73.63980488,29373644
2011 [YR2011],2.525,73.84497561,29759891
2012 [YR2012],2.504,74.05765854,30158768
2013 [YR2013],2.48,74.28385366,30565461
2014 [YR2014],2.455,74.52553659,30973148
2015 [YR2015],..,..,31376670
d,..,..,2.067902683
