Series Name,GDP growth (annual %),"Survival rate to the last grade of primary education, both sexes (%)","Population, total"
1961 [YR1961],7.350052545,0,10350239
1962 [YR1962],8.340192277,0,10650672
1963 [YR1963],3.720546399,0,10961539
1964 [YR1964],6.600281714,0,11281015
1965 [YR1965],4.939242858,0,11607684
1966 [YR1966],8.394879385,0,11941327
1967 [YR1967],3.774703476,0,12282081
1968 [YR1968],0.354541483,0,12629333
1969 [YR1969],3.794652658,0,12982444
1970 [YR1970],5.836876461,44.01262,13341071
1971 [YR1971],4.180886212,0,13704333
1972 [YR1972],2.869775962,0,14072476
1973 [YR1973],5.375670612,45.57104,14447649
1974 [YR1974],9.250073761,47.80399,14832839
1975 [YR1975],3.401563994,47.37723,15229951
1976 [YR1976],1.960723169,52.01779,15639898
1977 [YR1977],0.402916641,58.52945,16061327
1978 [YR1978],0.282736372,56.12781,16491087
1979 [YR1979],5.796396827,62.50363,16924758
1980 [YR1980],6.126498502,61.58353,17359118
1981 [YR1981],5.552041815,58.81403,17792551
1982 [YR1982],-0.222723444,0,18225727
1983 [YR1983],-10.4080858,0,18660443
1984 [YR1984],3.608286538,0,19099575
1985 [YR1985],2.061132066,53.96185,19544950
1986 [YR1986],9.425962361,0,19996250
1987 [YR1987],9.726146431,0,20451712
1988 [YR1988],-9.441273446,0,20909897
1989 [YR1989],-12.31204145,0,21368856
1990 [YR1990],-4.982563536,0,21826658
1991 [YR1991],2.219259103,0,22283130
1992 [YR1992],-0.540509125,0,22737056
1993 [YR1993],5.243577008,67.16629,23184222
1994 [YR1994],12.30812867,0,23619358
1995 [YR1995],7.411635008,69.27606,24038761
1996 [YR1996],2.799117578,0,24441076
1997 [YR1997],6.476802058,0,24827409
1998 [YR1998],-0.391710242,85.23261,25199744
1999 [YR1999],1.494863143,83.08753,25561297
2000 [YR2000],2.694311073,80.92544,25914875
2001 [YR2001],0.617831087,78.11449,26261363
2002 [YR2002],5.453764602,0,26601463
2003 [YR2003],4.164850559,84.07593,26937737
2004 [YR2004],4.9582783,85.56117,27273188
2005 [YR2005],6.285172088,84.90515,27610406
2006 [YR2006],7.528816844,89.70733,27949958
2007 [YR2007],8.518441947,81.96475,28292768
2008 [YR2008],9.143148198,87.60026,28642048
2009 [YR2009],1.049232382,90.40293,29001563
2010 [YR2010],8.450746875,81.52336,29373644
2011 [YR2011],6.452216002,73.88513,29759891
2012 [YR2012],5.95034634,0,30158768
2013 [YR2013],5.854057072,90.50577,30565461
2014 [YR2014],2.38417296,0,30973148
2015 [YR2015],3.25689986,0,31376670
,,,2.067902683
