Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Australia,AUS,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,,264069,271060,283748,295502,300859,314670,323982,323596,330034,326725,331417,333046,334448,332560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229.2654793,231.1033145,252.3457677,236.9044514,224.654952,181.1309641,215.55587,152.63103,282.4204851,242.3309027,292.0071272,383.643501,,
Australia,AUS,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.57003285,46.20960884,50.93940473,44.85445933,43.46012784,46.81468056,42.60442484,36.25043844,46.31648186,45.27874491,44.6988517,50.89595188,,
Australia,AUS,Agricultural land (sq. km),AG.LND.AGRI.K2,,4615850,4636880,4664710,4690090,4729760,4741540,4767280,4748210,4789430,4817870,4832530,4844570,4870170,4877270,4868370,4877730,4786110,4765300,4804770,4829260,4827410,4780810,4711250,4730390,4729600,4708850,4710200,4722830,4670770,4644810,4629740,4661780,4602860,4691000,4633480,4652210,4622000,4637860,4537290,4555000,4557000,4470000,4395000,4401100,4451490,4349250,4254490,4172880,4090290,3985800,4096726,4054740,3966153,,
Australia,AUS,Agricultural land (% of land area),AG.LND.AGRI.ZS,,60.08421957,60.35796571,60.72022702,61.05059683,61.56697864,61.72031813,62.05537404,61.80714109,62.34369915,62.71390078,62.90472905,63.06145295,63.39468649,63.48710673,63.371256,63.49309452,62.30048293,62.02960051,62.54337894,62.86216367,62.83808235,62.23149317,61.32603517,61.57517931,61.56489593,61.29479453,61.31236739,61.47677128,60.79910964,60.46119001,60.2650248,60.6820874,59.91512958,61.06244224,60.31370813,60.55751533,60.16427372,60.37072231,59.06160915,59.29213907,59.31817294,58.1856996,57.20942947,57.28883277,57.94475613,56.61390469,55.38041993,54.31810786,53.24303919,51.88289965,53.32681619,52.78028715,51.62715593,,
Australia,AUS,Arable land (hectares),AG.LND.ARBL.HA,,30185000,32103000,33034000,35380000,36966000,39614000,41278000,41390000,41500000,41614000,41110000,40616000,40216000,42121000,42226000,42076000,41087000,42518000,43932000,44031000,43014000,46374000,44817000,47080000,47150000,46813000,46941000,47000000,47700000,47900000,45700000,47200000,46300000,47300000,40097000,36284000,39871000,44055000,45530000,47304000,49807000,47799000,47040000,47743000,49402000,47715000,44140000,43979000,45616000,42568000,47678000,47113000,46219000,,
Australia,AUS,Arable land (hectares per person),AG.LND.ARBL.HA.PC,,2.879423829,2.988549618,3.016803653,3.168263634,3.246048472,3.400051498,3.498432071,3.44658173,3.384163745,3.327256736,3.177707351,3.082340442,3.00568012,3.069372586,3.039372346,2.998361006,2.895081736,2.961275944,3.026870608,2.996937109,2.881623903,3.05534326,2.916064806,3.02882141,2.992130981,2.922451681,2.886208105,2.842936814,2.836854125,2.806898289,2.644063874,2.69791369,2.62070527,2.649117894,2.218736166,1.98154115,2.153210563,2.354497354,2.405685301,2.469795854,2.565651883,2.432345787,2.364365632,2.372040105,2.422284112,2.305306335,2.119303232,2.069677917,2.10292416,1.932120689,2.134196454,2.072882501,1.999320597,,
Australia,AUS,Arable land (% of land area),AG.LND.ARBL.ZS,,3.92916184,4.178826653,4.300014319,4.605391614,4.811840204,5.156528644,5.373130443,5.38770941,5.402028038,5.416867344,5.351261992,5.286958333,5.234890593,5.482863205,5.496530987,5.477005584,5.348268097,5.534540437,5.718599898,5.731486664,5.599104435,6.036473452,5.833799774,6.128373013,6.137484868,6.093617797,6.110279474,6.117959465,6.20907801,6.235111881,5.94873931,6.143993335,6.02684092,6.15701027,5.21940044,4.723064707,5.189982167,5.734610729,5.92661052,6.157530948,6.483344832,6.221964776,6.123166239,6.214675293,6.430626245,6.211030551,5.745675123,5.724717858,5.937805084,5.541048905,6.206214285,6.132668602,6.016297203,,
Australia,AUS,Land under cereal production (hectares),AG.LND.CREL.HA,,8441623,9154626,9191184,9822032,9846764,11504354,11884253,14121516,12781700,10598124,11689197,11555097,12891607,11744994,12564985,12967979,14599138,15042503,15457828,15587177,16912666,16201605,18873052,17772613,17165159,15771295,13857882,13434992,13347412,13428753,11692782,13319773,13541766,12166478,14638839,16741808,15988253,16784700,16754700,17554290,17517484,17486037,19924035,20277255,19086391,18368064,19838164,20856545,20396520,19436865,19068695,19434173,17870632,17973080,
Australia,AUS,Permanent cropland (% of land area),AG.LND.CROP.ZS,,0.020827096,0.021477943,0.021738282,0.02199862,0.02212879,0.02212879,0.02212879,0.022258959,0.022519298,0.022519298,0.022519298,0.022258959,0.022258959,0.021608112,0.020957265,0.020436588,0.02004608,0.019785741,0.020176249,0.020176249,0.020436588,0.020436588,0.020566757,0.020696927,0.020827096,0.021087435,0.021477943,0.029027765,0.023039975,0.023560652,0.022649467,0.023170144,0.024211499,0.02603387,0.026424378,0.02811658,0.029808781,0.031891491,0.035145725,0.038530128,0.041654192,0.042305039,0.043606732,0.043867071,0.044257579,0.045559273,0.050766047,0.051416893,0.051416893,0.05206774,0.05206774,0.049464353,0.051026385,,
