Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Brazil,BRA,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,,72000,82000,93000,103000,114000,124000,134500,145000,155400,165870,183500,201000,218500,236000,323113,350000,370000,428000,485000,545205,569000,593000,617000,641000,666309,678803,691297,703790,716285,728779,741272,753766,766260,778754,791248,803742,802173,800604,799035,797466,795898,794329,792760,791191,789622,788053,,,,,,,,,
Brazil,BRA,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264.4901723,315.6848006,322.1581572,269.9376813,261.7370075,326.5858483,309.0089978,269.2666126,324.8686483,383.5364436,367.9918855,387.1507397,,
Brazil,BRA,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.8408396,152.3052418,150.9459511,120.1003514,124.0318675,165.1697374,141.838605,118.2567433,156.1898725,183.014805,181.7328081,175.6601467,,
Brazil,BRA,Agricultural land (sq. km),AG.LND.AGRI.K2,,1505310,1559130,1615110,1660410,1703950,1750940,1795890,1852230,1937780,1953970,1996320,2028370,2058610,2100430,2134160,2160070,2185500,2200390,2225130,2242780,2258240,2281360,2288210,2299240,2310410,2340550,2357910,2376870,2394320,2416080,2449410,2467090,2494630,2514180,2584720,2590190,2595660,2601120,2607590,2614060,2634650,2658680,2684690,2721320,2724326,2727840,2716380,2735000,2735400,2734630,2753730,2756070,2788081,,
Brazil,BRA,Agricultural land (% of land area),AG.LND.AGRI.ZS,,18.01010751,18.65403068,19.32379692,19.86578354,20.38671283,20.94891926,21.48671834,22.16079176,23.18434484,23.37804823,23.88473991,24.26819843,24.63000141,25.13035197,25.53391065,25.84390786,26.14816215,26.32631183,26.62231071,26.83348209,27.01845147,27.29506804,27.37702407,27.50899123,27.64263341,28.00323996,28.21094167,28.4377864,28.64656491,28.90690991,29.30568284,29.51721316,29.84671231,30.08061602,30.9245837,30.99002888,31.05547406,31.1207996,31.19820917,31.27561874,31.52196541,31.80946957,32.12066321,32.55891861,32.59488355,32.6369264,32.49981455,32.72259139,32.72737714,32.71816457,32.94668431,32.97468097,33.35767288,,
Brazil,BRA,Arable land (hectares),AG.LND.ARBL.HA,,22118000,24000000,26000000,27000000,28000000,29000000,30000000,32000000,33000000,35000000,37000000,38000000,39000000,41000000,42000000,43000000,44000000,44000000,44900000,45000000,45600000,47000000,47000000,47100000,47300000,49000000,49500000,49800000,49900000,50681000,51998000,51803000,52264000,52745000,58059000,57858000,57788000,57717200,57746800,57776400,59071000,61504000,64634000,68327000,69157000,69538000,68388000,70250000,70440000,70363000,72273000,72607000,76008100,,
Brazil,BRA,Arable land (hectares per person),AG.LND.ARBL.HA.PC,,0.296063731,0.311657757,0.327586075,0.330267949,0.332818016,0.335279546,0.337633741,0.35082715,0.352617801,0.364649985,0.376007853,0.376818181,0.377465185,0.387354211,0.387342088,0.387122111,0.386723205,0.377578195,0.376231412,0.368249613,0.364486885,0.367030488,0.358739365,0.351622294,0.345668187,0.350840416,0.347520894,0.343092245,0.337614255,0.336990098,0.340041005,0.333397673,0.331178409,0.329120384,0.356726249,0.350011468,0.344193698,0.338484581,0.333501458,0.328673814,0.331079475,0.339715534,0.351984625,0.367119789,0.366921047,0.364649404,0.354738024,0.360682393,0.358106432,0.354269721,0.36043223,0.35872743,0.372115597,,
Brazil,BRA,Arable land (% of land area),AG.LND.ARBL.ZS,,2.646282546,2.871452261,3.110739949,3.230383794,3.350027638,3.469671482,3.589315326,3.828603015,3.948246859,4.187534547,4.426822236,4.54646608,4.666109924,4.905397612,5.025041457,5.144685301,5.264329145,5.264329145,5.372008605,5.383972989,5.455759296,5.623260678,5.623260678,5.635225062,5.659153831,5.862548366,5.922370288,5.958263441,5.970227826,6.063669668,6.221240611,6.197910061,6.253065874,6.310614563,6.946401951,6.922353538,6.913978469,6.905507685,6.909049143,6.9125906,7.067481521,7.358574994,7.733060226,8.174904943,8.274209334,8.319793638,8.182203217,8.404980055,8.427712386,8.41849981,8.647019552,8.686980596,9.093901275,,
Brazil,BRA,Land under cereal production (hectares),AG.LND.CREL.HA,,11168641,11522315,12565288,13107902,14247927,13523268,14493244,15119971,15774034,16821700,17674109,17468377,16803961,18023969,19309530,21558886,21283876,19860058,20861400,21080553,19893608,21903982,18083861,19502145,19702168,22404844,23456712,23082577,21970521,18512400,19821129,20564106,18293749,20072480,19752819,17471671,17791386,15780800,17431028,17244374,18137080,17877180,19929747,20426199,19312005,18423582,19543770,20818353,20080310,18600440,19216441,19611226,20906133,21850734,
Brazil,BRA,Permanent cropland (% of land area),AG.LND.CROP.ZS,,0.751124054,0.743347204,0.743107916,0.746697232,0.72922923,0.741073971,0.740475752,0.744543642,0.751124054,0.748850821,0.757584822,0.758183041,0.749090109,0.746936519,0.767634904,0.802451263,0.831524717,0.866101788,0.898884202,0.940879191,0.900200284,0.853778472,0.792161892,0.756627671,0.710804078,0.724443477,0.704821886,0.752200849,0.793477975,0.80484414,0.836190827,0.861076747,0.925564779,0.891944859,0.890269845,0.902353873,0.898764558,0.895270957,0.8917295,0.888188042,0.884646584,0.881057269,0.877587597,0.873998282,0.870480753,0.866939295,0.86741787,0.86741787,0.849471294,0.849471294,0.849471294,0.837506909,0.813578141,,
