Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
China,CHN,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,,52661,55360,59657,66290,73021,100432,125442,155602,180772,126440,151281,191220,235524,282282,346786,398946,469106,559638,669675,747900,796867,817857,847916,862078,861364,876470,891170,880859,858031,824113,795713,770629,734325,705723,685202,684290,703117,738526,798506,989139,,,,,,,,,,,,,,,
China,CHN,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.1224185,114.9158097,111.8815662,118.2268472,114.5952299,103.2326474,96.76028784,94.42746009,93.17145772,89.55377994,90.32671021,88.85249888,,
China,CHN,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287.5021834,295.5953447,306.9175627,308.4721604,325.8233671,332.1933908,335.5840024,342.7311548,349.3471367,357.275629,372.5641994,364.3776012,,
China,CHN,Agricultural land (sq. km),AG.LND.AGRI.K2,,3423500,3451000,3479500,3508000,3546000,3582000,3618000,3654000,3700000,3746000,3792500,3838700,3894800,3961000,4007100,4066600,4126000,4184700,4231900,4276040,4329090,4425180,4529280,4645370,4763470,4824560,4877660,4933750,4994850,5056940,5113790,5143140,5182230,5228330,5228330,5228720,5233330,5236830,5231330,5220030,5199150,5185330,5161330,5164330,5174330,5141330,5145680,5145490,5145530,5145500,5145530,5145530,5145530,,
China,CHN,Agricultural land (% of land area),AG.LND.AGRI.ZS,,36.46579501,36.75871435,37.0622853,37.36585626,37.77061753,38.15407557,38.53753362,38.92099167,39.41096583,39.90094,40.39623998,40.88834447,41.48589993,42.19103667,42.682076,43.31584694,43.94855271,44.57380236,45.07655846,45.54672063,46.11178867,47.13530211,48.24413496,49.48068064,50.73863606,51.38934306,51.95494368,52.55239262,53.20320614,53.86456475,54.47010891,54.78273374,55.19910526,55.6901446,55.69020391,55.69441737,55.74352141,55.78080213,55.72221814,55.60191389,55.37954172,55.23234176,54.97670499,55.00866113,55.11518179,54.76367948,54.81001769,54.80799387,54.80841877,54.80809922,54.80841877,54.80841877,54.80841877,,
China,CHN,Arable land (hectares),AG.LND.ARBL.HA,,102600000,102300000,102100000,101900000,101650000,101200000,100720000,100240000,99760000,99280000,98850000,98390000,97920000,98460000,96990000,96860000,96720000,96430000,96452000,96175000,96790000,101700000,107300000,114000000,120100000,120500000,120200000,120900000,122200000,123800000,124875000,122900000,121300000,120700000,119580000,119339000,119500000,119850000,119300000,118170000,116082000,114500000,111700000,111600000,112250000,108700000,108485000,108116000,107720000,107220000,106520000,105920000,105720000,,
China,CHN,Arable land (hectares per person),AG.LND.ARBL.HA.PC,,0.155376857,0.153656668,0.149633245,0.145914327,0.142131057,0.137612184,0.133483533,0.129423765,0.125322697,0.121322474,0.117523971,0.114137559,0.111027961,0.109357472,0.105838639,0.104073881,0.102516813,0.100850795,0.099537154,0.098014237,0.097385512,0.100829838,0.104855811,0.109951052,0.114267773,0.112955689,0.110882029,0.109746467,0.109238815,0.109057114,0.108513356,0.105496279,0.102932691,0.101272408,0.099248457,0.098015687,0.097148548,0.096502635,0.095231633,0.093589251,0.091270197,0.08942518,0.086696678,0.086106128,0.086099776,0.082912541,0.082317501,0.081618233,0.080915824,0.080152201,0.079248287,0.078418888,0.077885338,,
China,CHN,Arable land (% of land area),AG.LND.ARBL.ZS,,10.92855431,10.89659947,10.87529625,10.85399302,10.82736399,10.77943174,10.728304,10.67717626,10.62604852,10.57492078,10.52911885,10.48012143,10.43005885,10.48757756,10.33099885,10.31715176,10.3022395,10.27134983,10.27369318,10.24418821,10.30969563,10.8326898,11.42918009,12.14283812,12.79258648,12.83519293,12.80323809,12.87779938,13.01627034,13.18669614,13.30120097,13.09083162,12.92040583,12.85649615,12.73721166,12.71155479,12.72870392,12.76598464,12.70740065,12.58705058,12.36465184,12.19614399,11.89789831,11.88724691,11.95648356,11.57835027,11.55544995,11.51614533,11.47396453,11.42070625,11.34614465,11.28223471,11.2609314,,
China,CHN,Land under cereal production (hectares),AG.LND.CREL.HA,,89712000,88910008,90371008,92086008,91089016,92863000,91965000,89643008,91280008,92886508,96197008,96529000,96185008,96848008,97239491,97788749,96433874,96648324,95472504,94370308,91944016,90301916,92104816,91739562,88145866,89761952,89694400,88790680,90871369,93020205,93608376,92081747,88812850,87436560,89309000,92208130,91959386,92118640,91617160,85264010,82595600,81466293,76810000,79351255,81873900,83143180,85777000,86249000,88401090,89907000,91006790,92538010,93844960,94694000,
China,CHN,Permanent cropland (% of land area),AG.LND.CROP.ZS,,0.186403217,0.191729023,0.197054829,0.202380635,0.207706442,0.213032248,0.221553538,0.230074828,0.238596117,0.247117407,0.255638697,0.264159987,0.272681277,0.281202567,0.289723857,0.298245147,0.306766437,0.315287727,0.324661146,0.333395468,0.341916758,0.351503209,0.372806434,0.404761271,0.521929007,0.639096743,0.745612867,0.777567704,0.798870929,0.798870929,0.798870929,0.830825766,0.926690278,0.990599952,1.109899193,1.139724953,1.171679859,1.171679859,1.171679859,1.171681107,1.171681831,1.192985264,1.235591946,1.278198592,1.315479482,1.342108679,1.411344534,1.448625333,1.491231929,1.544490212,1.619051809,1.682961749,1.704265062,,
